Code,Nama Barang,Merk,Jumlah,Total,Status,Sumber,Lokasi,Lantai,Satuan,Foto Real,Keterangan
,AC Cassete,Hitachi,1,1,Baik,,Lobby USC,1,Unit,,
,Meja Satpam Leter L,,1,1,Baik,,Lobby USC,1,Unit,,
,Kursi Hitam Susun Futura,,1,3,Baik,,Lobby USC,1,Unit,,
,Kursi Hitam Susun Futura,,1,,Baik,,Lobby USC,1,Unit,,
,Kursi Hitam Susun Futura,,1,,Baik,,Lobby USC,1,Unit,,
,,,,,,,,,,,
,Tulisan SERC,,1,1,Baik,,R. Pameran,1,Unit,,
,Sofa Pendek,,1,1,Baik,,R. Pameran,1,Unit,,
,Sofa Pendek,,1,1,Baik,,R. Pameran,1,Unit,,
,Sofa Panjang,,1,1,Baik,,R. Pameran,1,Unit,,
,Meja Sofa,,1,1,Baik,,R. Pameran,1,Unit,,
,Kursi Kayu,,1,8,Baik,,R. Pameran,1,Unit,,
,Kursi Kayu,,1,,Baik,,R. Pameran,1,Unit,,
,Kursi Kayu,,1,,Baik,,R. Pameran,1,Unit,,
,Kursi Kayu,,1,,Baik,,R. Pameran,1,Unit,,
,Kursi Kayu,,1,,Baik,,R. Pameran,1,Unit,,
,Kursi Kayu,,1,,Baik,,R. Pameran,1,Unit,,
,Kursi Kayu,,1,,Baik,,R. Pameran,1,Unit,,
,Kursi Kayu,,1,,Baik,,R. Pameran,1,Unit,,
,Meja Kayu,,1,2,Baik,,R. Pameran,1,Unit,,
,Meja Kayu,,1,,Baik,,R. Pameran,1,Unit,,
,,,,,,,,,,,
,Meja Kayu Panjang Hijau,,1,2,Baik,,R. Server,2,Unit,,
,Meja Kayu Panjang Hijau,,1,,Baik,,R. Server,2,Unit,,
,Meja Kayu Panjang Coklat,,1,1,Baik,,R. Server,2,Unit,,
,Kursi Susun Futura Hitam,,1,6,Baik,,R. Server,2,Unit,,
,Kursi Susun Futura Hitam,,1,,Baik,,R. Server,2,Unit,,
,Kursi Susun Futura Hitam,,1,,Baik,,R. Server,2,Unit,,
,Kursi Susun Futura Hitam,,1,,Baik,,R. Server,2,Unit,,
,Kursi Susun Futura Hitam,,1,,Baik,,R. Server,2,Unit,,
,Kursi Susun Futura Hitam,,1,,Baik,,R. Server,2,Unit,,
,Kursi Susun Futura Merah,,1,1,Baik,,R. Server,2,Unit,,
,Kursi Kantor Hitam ,,1,1,Baik,,R. Server,2,Unit,,
,Sound System,,1,1,Baik,,R. Server,2,Paket,,
,TV LG Monitor CCTV,,1,2,Baik,,R. Server,2,Unit,,
,TV LG Monitor CCTV,,1,,Baik,,R. Server,2,Unit,,
,Rak Krisbow Besi Putih,,1,1,Baik,,R. Server,2,Unit,,
,TV Polytron Kecil,,1,2,Baik,,R. Server,2,Unit,,
,TV Polytron Kecil,,1,,Baik,,R. Server,2,Unit,,
,AC Split 2PK,,1,1,Baik,,R. Server,2,Unit,,
,Mesin Server,,1,1,Baik,,R. Server,2,Paket,,
,,,,,,,,,,,
,AC Split 2PK,,1,1,Baik,,R. Media,2,Unit,,
,Meja Putih Pendek,,1,1,Baik,,R. Media,2,Unit,,
,Meja Putih Pendek,,1,1,Baik,,R. Media,2,Unit,,
,Kursi Kantor Tanpa Sandaran Tangan dan Roda,,1,1,Baik,,R. Media,2,Unit,,
,Body Protector,,1,2,Baik,,R. Media,2,Unit,,
,Body Protector,,1,,Baik,,R. Media,2,Unit,,
,Tripod Camera,,1,9,Baik,,R. Media,2,Unit,,
,Tripod Camera,,1,,Baik,,R. Media,2,Unit,,
,Tripod Camera,,1,,Baik,,R. Media,2,Unit,,
,Tripod Camera,,1,,Baik,,R. Media,2,Unit,,
,Tripod Camera,,1,,Baik,,R. Media,2,Unit,,
,Tripod Camera,,1,,Baik,,R. Media,2,Unit,,
,Tripod Camera,,1,,Baik,,R. Media,2,Unit,,
,Tripod Camera,,1,,Baik,,R. Media,2,Unit,,
,Tripod Camera,,1,,Baik,,R. Media,2,Unit,,
,Laci Camera Putih,,1,1,Baik,,R. Media,2,Unit,,
,Rak Krisbow Besi Putih,,1,1,Baik,,R. Media,2,Unit,,
,TV Polytron Kecil,,1,2,Baik,,R. Media,2,Unit,,
,TV Polytron Kecil,,1,,Rusak,,R. Media,2,Unit,,Pecah LCD
,Stand TV Polytron,,1,1,Baik,,R. Media,2,Unit,,
,Papan Tulis Putih Kecil,,1,1,Baik,,R. Media,2,Unit,,
,Papan Tulis Putih Besar,,1,1,Baik,,R. Media,2,Unit,,
,Dry Cabinet Master Space,,1,1,Baik,,R. Media,2,Unit,,
,Camera,,,,Baik,,R. Media,2,Unit,,
,Koper Camera Kecil,,1,1,Baik,,R. Media,2,Unit,,
,Koper Camera Besar,,1,1,Baik,,R. Media,2,Unit,,
,Box Container 52L Biru,,1,1,Baik,,R. Media,2,Unit,,
,Box Backdrop SERC Hitam,,1,1,Baik,,R. Media,2,Unit,,
,,,,,,,,,,,
,AC Split 2PK,,1,,Baik,,R. Direktur,2,Unit,,
,Meja Panjang Coklat,,1,,Baik,,R. Direktur,2,Unit,,
,Kursi Kayu Besar Direktur,,1,,Baik,,R. Direktur,2,Unit,,
,Kursi Kantor Tanpa Sandaran Tangan dan Roda,,1,2,Baik,,R. Direktur,2,Unit,,
,Kursi Kantor Tanpa Sandaran Tangan dan Roda,,1,,Baik,,R. Direktur,2,Unit,,
